author,key,affiliation
Rajiv Mehrotra,journals/tkde/BerraGMS93|conf/icde/MehrotraG93|conf/icde/GroskyNM89|journals/ac/GroskyM92|journals/computer/GroskyM89|journals/computer/MehrotraG95|journals/dke/GroskyNM92|journals/is/GaryM93|conf/icde/GroskyM92|conf/vdb/MehrotraG95,College of Europe
Rajiv Pratap,journals/datamine/BhandariCPPPR97,Universidad CES
Rajiv Tewari,journals/tse/AdamT93,National Taipei College of Nursing
Rajive L. Bagrodia,conf/ecoopw/KuenningBGPRW98,Yonsei University
Rajmohan Rajaraman,conf/soda/KorupoluPR98,University of Development Alternative
Rajni Goel,conf/edbt/BarbaraGJ00,Pontifícia Universidade Católica de Campinas
Rajshekhar Sunderraman,journals/tkde/LiuS91|journals/tods/LiuS90|conf/icde/LiuS88|conf/icde/LiuS90|journals/jiis/BagaiS96|conf/ismis/LiuS87|conf/ecoop/AlagicSB94|conf/comad/SunderramanB95,Chaopraya University 
Rakesh Agrawal 0001,journals/tkde/DarA93|journals/tkde/AgrawalJ94|journals/tkde/AgrawalD89|journals/tkde/AgrawalS96|journals/tkde/AgrawalIS93|journals/tods/AgrawalD85|journals/tods/AgrawalDJ90|journals/tods/AgrawalCL87|journals/vldb/ChakrabartiDAR98|conf/icde/AgrawalDJ89|conf/icde/Agrawal87|conf/icde/AgrawalD88|conf/icde/AgrawalBGS91|conf/icde/DeMichielCLAA93|conf/icde/AgrawalGS97|conf/icde/ZakiHA99|conf/icde/ShimSA97|conf/icde/AgrawalJ89|conf/icde/ChaudhuriADRSW97|conf/icde/AgrawalK93|conf/icde/BayardoAG99|conf/icde/AgrawalS95|conf/icde/AgrawalDG93|conf/icde/DarAJ91|conf/sigmod/AgrawalS00|conf/sigmod/AgrawalD85|conf/sigmod/AgrawalCL85|conf/sigmod/SrikantA96|conf/sigmod/AgrawalW00|conf/sigmod/AgrawalGGR98|conf/sigmod/AgrawalBJ89|conf/sigmod/JagadishAN87|conf/sigmod/AgrawalGS90|conf/sigmod/AgrawalG89|conf/sigmod/AgrawalCFGHIIMMSS94|conf/sigmod/HoAMS97|conf/sigmod/AgrawalIS93|conf/sigmod/SarawagiTA98|conf/pods/Agrawal94|conf/pods/HoBA97|conf/dbpl/AgrawalG89|conf/edbt/AgrawalD94|conf/edbt/AgrawalBS00|conf/edbt/AgrawalGL98|conf/edbt/SrikantA96|conf/edbt/SarawagiAM98|conf/edbt/MehtaAR96|conf/vldb/ChakrabartiDAR97|conf/vldb/AgrawalLSS95|conf/vldb/AgrawalCL91|conf/vldb/AgarwalADGNRS96|conf/vldb/AgrawalJ88|conf/vldb/AgrawalJ89|conf/vldb/AgrawalS94|conf/vldb/ShaferAM96|conf/vldb/AgrawalJ90|conf/vldb/SrikantA95|conf/vldb/AgrawalJ87|conf/vldb/AgrawalGIIS92|conf/vldb/SchreierPAM91|conf/vldb/ShaferA97|conf/vldb/StonebrakerADNR93|conf/vldb/AgrawalPWZ95|journals/debu/AgrawalJ89|journals/debu/AgrawalG89|journals/debu/AgrawalC85|journals/ipl/AgrawalD83|journals/sigmod/AgrawalCD83|journals/tc/HoBA98|journals/tse/Agrawal88|journals/tse/AgrawalCM87|conf/oopsla/AgrawalDL91|conf/dpds/AgrawalJ88|conf/iwdm/AgrawalJ89|conf/kdd/Agrawal99|conf/kdd/MehtaRA95|conf/kdd/AgrawalP95|conf/kdd/SrikantVA97|conf/kdd/ArningAR96|conf/kdd/AgrawalMSSAB96|conf/kdd/LentAS97|conf/kdd/AgrawalS96|conf/kdd/BayardoA99|conf/comad/AgrawalS95|conf/fodo/AgrawalFS93,Universidad San Marcos
Rakesh Chandra,conf/icde/ChandraSS94|conf/vldb/ChandraS93|journals/lncs/SegevC93|conf/ride/ChandraS94,University of Oradea
Rakesh D. Barve,journals/pc/BarveGV97,China Agriculture University East
Rakesh K. Sinha,conf/icde/ChenS99|conf/icdt/SinhaBC01|conf/edbt/BhatiaSC00|conf/icde/BhatiaSC00,Debre Markos University
Rakesh M. Verma,journals/tkde/VarmanV97|conf/icalp/RameshVKR87,University of Portharcourt
Rakesh Vohra,conf/stoc/BartalFKV92,College of William and Mary
Ralf Böttger,conf/sigmod/RadekeBBEKKN95,Tajikistan International University
Ralf Dömges,journals/cacm/DomgesP98,Technical University of Cracow
Ralf Guido Herrtwich,conf/mm/DelgrossiHHHKSV93|conf/rtss/Herrtwich90,University of Aleppo
Ralf Hartmut Güting,journals/sigmod/FrankGGJKLMNPSSSTW99|journals/tkde/ErwigG94|journals/tods/BeckerG92|journals/vldb/Guting94|journals/vldb/GutingS95|conf/er/ErwigSG98|conf/sigmod/ForlizziGNS00|conf/sigmod/Guting93|conf/edbt/Guting88|conf/vldb/Guting89|conf/vldb/Guting94|journals/geoinformatica/ErwigGSV99|journals/acta/Guting84|journals/algorithmica/BlankenagelG90|journals/tois/GutingZC89|conf/nf2/GutingZ87|conf/dexa/GutingDFBS99|conf/gis/ErwigGSV98|conf/gi/GutingK80|conf/ssd/GutingS93|conf/ssd/GutingRS95,Chung Yuan Christian University
Ralf Hofestädt,conf/adbis/HodingHSS98,ICI University
Ralf Jungclaus,conf/er/JungclausSH91|conf/er/HartelJ94|conf/mfdbs/SaakeJS91|journals/tois/JungclausSHS96|conf/fmldo/SaakeJ90|conf/dexa/HartmannJS93|conf/tapsoft/JungclausS91|conf/ecoop/HartmannJS92|conf/ds/JungclausS90|conf/coopis/SaakeJH93,Susquehanna University
Ralf Kramer,conf/sigmod/Kramer97|conf/adbis/KramerL98|conf/vldb/LockemannKKKN97|journals/jodl/KramerNH97|journals/sigmod/KramerNKRLKLZ97|conf/efdbs/KoschelK99|conf/iadt/KazakosKNRBJ98|conf/iwdm/BultzingsloewenILKSDL89|conf/adl/NikolaiTK98|conf/pdis/BultzingsloewenKS93|conf/coopis/BultzingsloewenKK96|conf/coopis/BultzingsloewenKK97,Universidad de Huánuco
Ralf Menzel,conf/er/BiskupMPS96|conf/adbis/BiskupMP95,Kyrgyz Turkish  Manas University
Ralf Mindermann,conf/coopis/GillmannMW00,Herzen State Pedagogical University of Russia
Ralf Nikolai,conf/vldb/LockemannKKKN97|journals/jodl/KramerNH97|journals/sigmod/KramerNKRLKLZ97|conf/iadt/KazakosKNRBJ98|conf/adl/NikolaiTK98,Paul University
Ralf Pinger,conf/er/GrauFKEPE98,Universidade de Lisboa
Ralf Rantzau,conf/adbis/KutscheraR97,Universidad Tecnológica de México
Ralf Schaarschmidt,conf/cikm/HerzogS95|conf/er/SchaarschmidtL99,Norway's Information Technology University College
Ralf Schenkel,conf/coopis/SchenkelW00|conf/fmldo/SchenkelWWW99|conf/efdbs/SchenkelW99,Bayan College for Science & Technology
Ralf Schneider,journals/debu/KriegelBS93|conf/icde/BrinkhoffKS93|conf/sigmod/BeckmannKSS90|conf/sigmod/BrinkhoffKSS94|conf/sigmod/BrinkhoffKSS94a|conf/gis/BrinkhoffKSB95|conf/ssd/BrinkhoffHKS93,Blue Mountains Hotel School
Ralf Steinbrüggen,journals/csur/PartschS83,Seoul National University of Technology
Ralf Steinmetz,journals/ieeemm/Steinmetz95,Taipei Municipal Teachers College
Ralf-Detlef Kutsche,journals/sigmod/ConradHHKRSS99,Zhongshan University
Ralph A. Alexander,journals/ijmms/BatesonAM87,Karaganda State Buketov University
Ralph Busse,conf/icde/BusseF99|conf/adbis/HuckFBK94|conf/ewdw/BusseFN94,Baldwin-Wallace College
Ralph C. Merkle,journals/joc/Merkle90|conf/sp/Merkle80,Japan Women's University
Ralph D. Hill,journals/tochi/HillBRPW94|conf/ifip/HerrmannH89|conf/cscw/PattersonHRM90,Seattle University
Ralph D. Semmel,conf/sigmod/BlumS90|conf/cikm/Semmel92|conf/krdb/SilberbergS98,Trinity College of Vermont
Ralph E. Bunker,conf/icde/StempleSB86|journals/cacm/BassB81,Mukogawa Women's University
Ralph E. Johnson,journals/cacm/Wirfs-BrockJ90|journals/cacm/SchmidtFJ96|conf/oopsla/FooteJ89|conf/oopsla/JohnsonGZ88|conf/popl/GraverJ90|conf/ecoop/GammaHJV93,Universidade Federal do Vale do São Francisco
Ralph Grishman,conf/vldb/Grishman78|journals/ai/GrishmanH78|journals/tc/GottliebGKMRS83|journals/cacm/SagerG75,Columbus College of Art and Design
Ralph Kimball,journals/sigmod/KimballS95,Kyoto Sangyo University
Ralph L. London,journals/acta/LondonGHLMP78|journals/tse/WulfLS76|journals/cacm/ShawWL77,University of Minnesota - Crookston
Ralph M. Weischedel,journals/coling/WeischedelS83,Sinte Gleska University
Ralph Meyfarth,conf/dasfaa/Meyfarth91,SMK Fomra Institute of Technology
Ralph Michaelis,conf/sigmod/BlainDMQ85,University of Pangasinan
Ralph-Johan Back,journals/acta/Back81,Universidad de San José
Ram Chillarege,conf/ftcs/SullivanC92|conf/ftcs/SullivanC91,Ama International University
Ram D. Gopal,journals/tkde/GopalR95,Higher Technological Institute
Ram K. Gupta,journals/cacm/FranklinGG78,"School of Pharmacy, University of London"
Ram Ramesh,journals/tkde/GopalR95,Vancouver Community College
Ram Tanamy,conf/adb/CochinwalaBT94,Thames Valley University
Rama Kanneganti,conf/vldb/JagadishNSSK97,Universidad Mayor
Ramachendra P. Batni,journals/jacm/BatniRK74,"Universidad ""Juan Agustín Maza"""
Ramakrishna Karedla,conf/sigmetrics/RamakrishnanBK92,Université Cadi Ayyad
Ramakrishnan Rajamony,journals/computer/AmzaCDKLRYZ96,Akademia Podlaska
Ramakrishnan Raman 0002,conf/vldb/RamakrishnanR96,Volgograd State Academy of Physical Education
Ramakrishnan Srikant,conf/icde/ShimSA97|conf/icde/AgrawalS95|conf/sigmod/AgrawalS00|conf/sigmod/SrikantA96|conf/sigmod/AgrawalCFGHIIMMSS94|conf/sigmod/HoAMS97|conf/edbt/AgrawalBS00|conf/edbt/SrikantA96|conf/vldb/AgrawalS94|conf/vldb/SrikantA95|conf/kdd/MegiddoS98|conf/kdd/SrikantVA97|conf/kdd/AgrawalMSSAB96|conf/kdd/LentAS97|conf/kdd/AliMS97,"Johnson & Wales University, Charleston"
Ramalingam Sridhar,journals/computer/PalumboSSSD92,"Evangelische Fachhochschule für Sozialpädagogik der ""Diakonenanstalt des Rauhen Hauses"" Hamburg"
Ramamohanrao S. Jawadi,journals/tkde/SuJCLN98|conf/dasfaa/JawadiS95,Missouri Western State College
Raman Chandrasekar,conf/sigmod/LacroixSC98,University of Essex
Ramana Rao,journals/tois/MaloneGLRR87|journals/cacm/RaoPHMCMHR95|conf/chi/MackinlayRC95|conf/chi/PirolliPR96|conf/uist/RaoCJMR92,Sir Syed Institute Of Technology Islamabad
Ramana Yerneni,conf/icde/Garcia-MolinaLY99|conf/icde/YerneniL89|conf/sigmod/LiYVGPUV98|conf/sigmod/HammerGNYBV97|conf/sigmod/LabioYG99|conf/sigmod/YerneniLGU99|conf/icdt/YerneniLUG99|conf/edbt/YerneniPAG98|conf/vldb/WildfogelY97,Goucher College
Ramanathan V. Guha,journals/sigart/LenatG91|journals/aim/GuhaL90|journals/cacm/GuhaL94|journals/cacm/LenatGPPS90,Université de Monastir
Ramasamy Uthurusamy,journals/aim/Piatetsky-ShapiroMSU94|journals/cacm/FayyadU96,Canisius College
Ramayya Krishnan,journals/internet/GuntherMSBK97,Universidad Externado de Colombia
Ramesh C. Agarwal,conf/sigmod/Agarwal96,New Mexico Highlands University
Ramesh C. Jain,journals/tkde/BachPJ93|conf/icde/WhiteJ96|conf/vldb/GuptaWJ91|journals/mta/HampapurJW95|journals/sigmod/Jain93|journals/csur/BeslJ85|journals/cacm/GuptaJ97|journals/expert/RaoJ88|conf/spieSR/BachFGHHHJS96|conf/spieSR/WhiteDJ96|conf/spieSR/SwanbergSJ93|conf/spieSR/JainMTC95|conf/mm/HampapurWJ94|conf/ssd/GuptaWJ91,Hanoi National Economics University
Ramesh Govindan,journals/tocs/AndersonOG92|conf/icdcs/AndersonTWGA90,George Washington University
Ramesh Gupta,conf/sigmod/GuptaHR97,Panjab University
Ramesh Krishnamurti,journals/tc/Krishnamurti92,Fachhochschule für Verwaltung und Rechtspflege Berlin
Ramesh S. Patil,journals/ai/DoyleP91|journals/aim/NechesFFGPSS91|conf/kr/PatilFPMFGN92,"University of Agricultural Sciences, Dharwad"
Ramesh Subrahmanyam,conf/icalp/TannenS91,Maria Grzegorzewska College for Special Education
Ramesh Subramonian,conf/ppopp/CullerKPSSSSE93,Gallaudet University
Ramesh Viswanathan,conf/lics/HoangMV93,Tenri University
Ramez Elmasri,conf/icde/ElmasriW90|conf/icde/KouramajianEC94|conf/icde/ElmasriN84|conf/icde/ElmasriKW91|conf/icde/ElmasriST87|conf/icde/ElmasriJK92|conf/icde/WonE96|conf/er/KouramajianE91|conf/er/ElmasriEK90|conf/er/LeeEW96|conf/er/ElmasriL85|conf/er/ElmasriK92|conf/er/ElmasriW81|conf/er/LeeE98|conf/er/WiederholdE79|conf/sigmod/El-MasriW79|conf/dasfaa/KouramajianE95|conf/ssdbm/SonE96|conf/vldb/NavatheSE84|conf/vldb/ElmasriWK90|journals/debu/ElmasriLNS84|journals/sigmod/JensenCEGHJ94|journals/sigmod/ElmasriDR81|journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94|journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94a|journals/sigmod/PissinouSEMOPSTD94|journals/computer/CzejdoERE90|journals/computer/NavatheEL86|journals/tse/LarsonNE89|journals/dke/LeeEW98|journals/dke/ElmasriWH85|journals/lncs/ElmasriK93|conf/cikm/KouramajianKEW94|conf/cikm/ElmasriKF93|conf/dagstuhl/JensenDBCEGGHJKKLMMNPPRSSSSSTTW97|conf/dagstuhl/ElmasriL97|conf/dexa/NascimentoDE96|conf/dpds/Gamal-EldinTE88,Victoria University
Rami R. Razouk,conf/issta/RazoukG89|conf/icse/GorlickR91,Chukyo University
Ramin Yasdi,journals/tkde/Yasdi91|journals/ijmms/YasdiZ88|conf/tfais/HorndaschSY85,Awadhesh Pratap Singh University
Ramin Zabih,conf/oopsla/McAllesterZ86|conf/mm/ZabihMM95,Christopher Newport University
Ramsey W. Haddad,conf/pods/HaddadN88|journals/jcss/HaddadN91,Dong-A University
Ramya Raj,journals/sigmod/WolfsonSDNR95|conf/ride/SistlaWDNR96,Universidad de Viña del Mar
Ramón Casajuana,conf/ibm/BecerrilCL79,Veritas University
Ramón Cáceres,journals/jsac/CaceresI95|conf/mobicom/CaceresP96|conf/icdcs/CaceresI94,The Corcoran College of Art
Ramón López de Mántaras,journals/ml/Mantaras91,University of the South Pacific
Ran Canetti,conf/stoc/Bar-NoyCKMS95,Bogor Agricultural University
Ran Giladi,journals/jiis/GiladiS94,Huron University USA in London
Ran Ginosar,conf/isca/ArdenG81,BiTS - Business and Information Technology School gGmbH
Ranabir Gupta,conf/icde/GuptaH92|conf/icde/HallG91,Gubkin Russian State University of Oil and Gas
Ranan B. Banerji,conf/ijcai/MitchellUNB81,University of Guam
Rance Cleaveland,journals/acta/Cleaveland89|journals/toplas/CleavelandPS93,Japan Advanced Institute of Science and Technology
Randal C. Nelson,conf/sigmod/NelsonS87|journals/gis/ShafferSN90,University of Szeged
Randal E. Bryant,journals/tc/Bryant86|journals/csur/Bryant92,St. Andrew's University
Randal J. Peters,journals/tods/PetersO97|journals/vldb/OzsuPSILM95|conf/icde/PetersO95|conf/er/PetersO93|conf/er/GoralwallaSOP97|conf/cikm/PetersLOS93,Jubail University College
Randal V. Zoeller,conf/icde/ZoellerB92|conf/er/HuffmanZ89,"Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)"
Randall B. Smith,conf/oopsla/UngarS87|conf/uist/MaloneyS95|conf/uist/BegoleSSS97,University of Lapland
Randall Baird,conf/mm/TobagiPBG93,Iran University of Science and Technology Tehran
Randall D. Beer,journals/jlp/SterlingB89,Dunya Institute of Higher Education
Randall Davis,journals/ai/DavisBS77|journals/ai/Davis80|journals/ai/Davis84|journals/ai/Davis79|journals/ai/DavisS83|journals/ai/Davis80a|journals/ijmms/Davis83a|conf/aaai/DavisSHWSP82|conf/aaai/Davis83,Salem College
Randall F. Scott,journals/tse/ScottS75,Northeastern Ohio University College of Medicine
Randall G. Bello,conf/vldb/BelloDDFNSWZ98,Nazarene Bible College
Randall H. Trigg,journals/tois/Trigg88|journals/tois/TriggW86|journals/cacm/GronbaekT94,Kurashiki University of Science and the Arts
Randall L. Frank,journals/csur/TaylorF76|conf/sigmod/FryFH72,Universidad de la Sierra A.C.
Randall Sparks,conf/ids/DurandBCFMSS92,Escuela Politécnica de Chimborazo
Randall Steeb,conf/aaai/McArthurSC82|conf/ijcai/CammarataMS83,Academy of Economics in Wroclaw
Randall W. Dean,conf/usenix/GolubDFR90,Baghdad College of Pharmacy
Randeep Bhatia,conf/icdt/SinhaBC01|conf/edbt/BhatiaSC00|conf/icde/BhatiaSC00,Massachusetts College of Art
Randi Karlsen,journals/sigmod/EliassenK91,O'More College of Design
Randolf D. Nelson,journals/tc/NelsonT88,Universidad del Bío-Bío
Randolph Chung,conf/sigmod/BonnetBCCCHKMMOSS99,Universidad Luterana Salvadorena
Randolph D. Nelson,journals/jacm/Nelson87|journals/pe/NelsonI85,Universidad Nacional de la Amazonía Peruana
Randolph Y. Wang,conf/osdi/DahlinWAP94,Miami University of Ohio - Hamilton
Randy Appleton,conf/usenix/GriffioenA94,"Evangelische Theologische Faculteit, Leuven"
Randy D. Smith,conf/er/EmbleyCJLNQS98|journals/dke/EmbleyCJLNQS99|conf/cikm/EmbleyCSL98,Southwest Baptist University
Randy F. Pausch,conf/hpts/SpectorEDDBDPT87|conf/sosp/SpectorDDEP85,Samara State University of Teacher Training
Randy Goebel,conf/icde/SattarG91|journals/ngc/Goebel85|conf/iclp/PooleG86,Nile University
Randy H. Katz,journals/tkde/ChiuehK93|journals/csur/Katz90|journals/csur/ChenLGKP94|journals/tods/KatzW82|journals/tods/KatzW83|conf/icde/ChiuehK94|conf/er/KatzG81|conf/er/WongK79|conf/sigmod/KatzW80|conf/sigmod/WongK83|conf/sigmod/DeWittKOSSW84|conf/sigmod/ChiuehK91|conf/sigmod/KatzCB86|conf/sigmod/ChangK89|conf/sigmod/PattersonGK88|conf/pods/DayalGK82|conf/dasfaa/ChiuehK91|conf/vldb/StonebrakerKPO88|conf/vldb/KatzC87|journals/debu/Katz82a|journals/debu/KatzOPS88|journals/mms/KeetonK95|journals/computer/Katz83|journals/algorithmica/HellersteinGKKP94|journals/tse/KatzL84|journals/dpd/ChenLDLMSSPK94|journals/dpd/KatzH93|journals/spe/ChangGK89|journals/spe/ChouDKK85|conf/compcon/SchulzeKP89|conf/mobicom/KahnKP99|conf/sigcomm/BalakrishnanPSK96|conf/sigmetrics/ChervenakK91|conf/sigmetrics/LeeK93|conf/sigmetrics/DrapeauPK94|conf/sigmetrics/ChenGKP90|conf/mm/ChiuehK93|conf/icod/Katz83|conf/mss/DrapeauK93|conf/isca/DrapeauSHMSKLPLCG94|conf/isca/EggersK88|conf/isca/EggersK89|conf/asplos/LeeK91|conf/asplos/GibsonHKKP89|conf/dac/BhatejaK87|conf/dac/GedyeK88|conf/jcdkb/Katz82,Universidad Autónoma del Noreste
Randy H. Steinvorth,journals/computer/McDonaldGSDB87,Roberts Wesleyan College
Randy Kerber,conf/kdd/SimoudisLK94|conf/aaai/Kerber92,University of Leicester
Rangachar Kasturi,journals/computer/KasturiFAF89|journals/tse/KasturiA88,Masaryk University
Rangasami L. Kashyap,journals/tkde/MohanK93|journals/tkde/SullK92|journals/tse/KashyapSY77|journals/tse/ChengIK88|journals/tse/MohanK88|journals/tse/KashyapO83|journals/dke/SheuKY89,Universidad del Bajío
Rani A. Saad,journals/corr/FranceNFSZ99,Converse College
Raphael A. Finkel,journals/toms/FriedmanBF77|journals/acta/FinkelB74|journals/tse/DeWittFS87|conf/sosp/SolomonF79,Estonian University of Life Sciences
Raphael Chan,conf/vldb/FaloutsosC88,Daiichi University of Economics
Raphael Rom,conf/soda/AzarNR92,Universidad Nacional de Quilmes
Raphael W. H. Wong,journals/aim/SenatorGWCKKLMW95,University of Tampere
Raphael Yahalom,conf/coopis/YahalomM99,Ondokuz Mayis University Samsun
Raphael Yuster,journals/jacm/AlonYZ95,Anderson College
Rasa Bliujute,conf/icde/BliujuteSSJ99|conf/vldb/BliujuteJSS98,University of Insubria
Rasikan David,journals/sigmod/SonDT96|conf/dbsec/SonDT95,Northern Institute of Technology Management (NIT)
Ratko Orlandic,conf/vldb/OrlandicP88|conf/fct/OrlandicP89,Bishop's University
Rattikorn Hewett,conf/ijcai/Hayes-RothWHHS89,Birzeit University
Raul Medina-Mora,journals/debu/Medina-MoraWF93|conf/icde/Medina-MoraC96|journals/tse/Medina-MoraF81|conf/cscw/Medina-MoraWFF92,Sri Sant Gajanan Maharaj College of Engineering
Raven Wallace,journals/computer/AtkinsBDGMRSVWW96,Université de 7 Novembre à Carthage
Ravi A. Dirckze,journals/sigmod/GruenwaldBDGSSV99|conf/cikm/DirckzeG98,Emerson College
Ravi B. Boppana,journals/ipl/BoppanaHZ87|conf/focs/Boppana87,The Queen's University Belfast
Ravi B. Nannapaneni,conf/icde/UrbanKN92,Qauid-e-Awam University of Engineering Sciences & Technology
Ravi Janardan,journals/ipl/ChengJ90,Martin Luther College
Ravi Kannan,journals/jacm/DyerFK91|conf/focs/FriezeKV98,State University of New York School of Engineering and Applied Sciences
Ravi Krishnamurthy,journals/tkde/ChimentiGKNTZ90|journals/tods/WhangK90|conf/icde/KrishnamurthyZ95|conf/icde/ChaudhuriKPS95|conf/icde/GangulyKS91|conf/icde/KrishnamurthyM84|conf/icde/LakshmananSGK98|conf/sigmod/GangulyHK92|conf/sigmod/KrishnamurthyLK91|conf/sigmod/KrishnamurthyRS88|conf/sigmod/GoyalHKMSZ97|conf/sigmod/GoyalHKMS96|conf/pods/KrishnamurthyD82|conf/pods/RamakrishnanBK88|conf/pods/NaqviK88|conf/pods/KorthKNR83|conf/dasfaa/WhangK91|conf/dbpl/KrishnamurthyZ87|conf/dbpl/NaqviK87|conf/edbt/KrishnamurthyZ88|conf/edbt/ChimentiGK90|conf/vldb/CopelandKKS89|conf/vldb/KrishnamurthyBZ86|conf/vldb/KrishnamurthyM84|conf/vldb/KrishnamurthyMZ83|conf/vldb/KrishnamurthyN88|conf/vldb/DuKS92|conf/vldb/ChimentiGK89|journals/debu/ChimentiOKTWZ87|journals/sigmod/KrishnamurthyI91|journals/sigmod/LitwinKK91|journals/jcss/KrishnamurthyRS96|journals/tois/WhangABHHHKKSSWZ87|conf/slp/KrishnamurthyNZ89|conf/pos/HasanK92|conf/berkeley/KrishnamurthyD82|conf/comad/GangulyK94|conf/ride/KrishnamurthyLK91|conf/jcdkb/KrishnamurthyN88,"City University of New York, Hunter College"
Ravi Kumar 0001,conf/pods/KumarRRSTU00|conf/vldb/KumarRRT99|journals/cn/KumarRRT99|conf/cocoon/KleinbergKRRT99,Beijing Language and Culture University
Ravi Mukkamala,journals/tkde/Mukkamala89|journals/tkde/Mukkamala94|journals/tods/MukkamalaJ91|conf/icde/Mukkamala89|conf/icde/MukkamalaBS88|conf/sigmetrics/MukkamalaBS88|conf/dbsec/McDermottM93|conf/dbsec/MukkamalaS95,Pedagogical University of Zielona Gora
Ravi S. Sandhu,journals/tkde/ThomasS96|conf/sigmod/JajodiaS91|journals/tocs/Sandhu88|journals/sigmod/JajodiaS90|journals/computer/Sandhu93|journals/computer/SandhuCFY96|journals/jcss/Sandhu92|journals/jacm/Sandhu88|conf/dbsec/SanhuTJ91|conf/esorics/Sandhu96|conf/sp/JajodiaS90,University of South Carolina - Spartanburg
Ravi Sethi,journals/jacm/DowneyST80|journals/jacm/ComerS77|journals/jacm/DowneyS78|journals/jacm/Sethi74|journals/jacm/Sethi82|journals/iandc/MacQueenPS86|journals/siamcomp/Sethi75|conf/focs/Sethi81|conf/popl/MacQueenPS84,Southern Nazarene University
Ravi Sharma,conf/oopsla/SharmaS91,"Concordia University, Portland"
Ravi Varadarajan,conf/icde/Rivera-VegaVN90|journals/dpd/ChakravarthyMVN94,Vilnius Academy of Arts
Ravinder Chandhok,conf/cscw/NeuwirthKCM90,Montclair State University
Ravishankar K. Iyer,journals/tc/VelardiI84|journals/tse/KaoIT93|conf/ftcs/LeeI93,Instituto Tecnológico de Buenos Aires
Ravishankar Subramanya,conf/vldb/IshikawaSF98,Instituto Piaget
Ray Bareiss,journals/ai/PorterBH90|journals/ijmms/BareissPW88|conf/ht/ClearyB96,Ecole Nationale Vétérinaire de Toulouse
Ray Ford,conf/pods/FordC84|conf/srds/FordSJ84,Faculdade Integradas do Ceará
Ray Glasstone,journals/sigmod/EnglertGH95,Tbilisi Teaching University
Ray Offen,conf/er/GongSXO97,Instituto de Estudios Superiores de la Sierra
Ray R. Larson,journals/jasis/Larson92|journals/jasis/Larson92a,Chia Nana College of Pharmacy and Science
Ray Shea,conf/sigmod/BohrerBBCFHKKMNRRSUUW97a|conf/sigmod/BohrerBBCFHKKMNRRSUUW97,St. John's Seminary
Ray Welland,journals/spe/SommervilleWPS89|conf/pos/SjobergCWA94,Mbarara University of Science and Technology
Rayman D. Meservy,journals/tkde/DennaHM91,La Trobe University
Raymond A. Liuzzi,conf/icde/SuMLC86,Beijing Union University
Raymond A. Lorie,journals/csur/GrayMBLLPPT81|journals/tods/Lorie77|journals/tods/AstrahanBCEGGKLMMPTWW76|journals/tods/ChamberlinAKLMPSSSWY81|conf/sigmod/SelingerACLP79|conf/sigmod/HaskinL82|conf/sigmod/MohanPL92|conf/vldb/MeierL83|conf/vldb/LorieY89|conf/vldb/KimLMP84|conf/vldb/GrayLPT75|journals/debu/LorieDHSY89|journals/debu/HaskinL82|journals/debu/PlouffeKLM84|journals/ibmrd/LorieN79|journals/ibmrd/ChamberlinAEGLMRW76|journals/computer/AstrahanBCGKLLMPPSSSSTTWY79|journals/tse/DittrichL88|journals/cacm/ChamberlinABGKLLMPPSSSTWY81|journals/cacm/EswarranGLT76|journals/ibmsj/BlasgenACGKLLMPPSSSSTWY81|conf/pacific/AstrahanL75|conf/sigmod/LorieP83|conf/sigmod/SymondsL70|conf/ds/GrayLPT76|conf/ibm/BecerrilCL79|conf/oodbs/LorieS88,"Troy University, Montgomery"
Raymond Bates,conf/aaai/KaczmarekBR86,Hatyai University
Raymond E. Jennings,conf/icde/ChanJT91,California School of Professional Psychology - San Diego
Raymond E. Miller,journals/jcss/MillerY80|journals/siamcomp/MillerPRS79|conf/stoc/KarpMR72,Georgia Institute of Technology
Raymond F. Boyce,journals/cacm/BoyceCKH75|conf/ifip/ChamberlinBT74|conf/sigmod/ChamberlinB74|conf/ds/BoyceCKH74,Kyoto University of Foreign Studies
Raymond Fadous,conf/sigmod/FadousF75,Katholische Hochschule für Soziale Arbeit Saarbrücken
Raymond J. A. Buhr,journals/tods/ThomasPB77,Pfeiffer University
Raymond J. Mooney,journals/ml/ShavlikMT91|journals/ml/DejongM86|journals/jair/MooneyC95|conf/aaai/OurstonM90|conf/icml/RichardsM91,Martin University
Raymond J. Walker,conf/ssdbm/KingJW94,Botho University
Raymond K. Wong 0001,conf/icde/WongCL97,Centro Universitário Newton Paiva
Raymond Klefstad,journals/aim/AckermanBGHKKKLLMOPSSY97,"Universidad de Puerto Rico, Ciencias Medicas"
Raymond Plante,journals/corr/McGrathFPG99,Xi'an University of Electronic Science and Technology
Raymond Pyle,journals/cacm/Pyle96,Universitas Mulawarman
